page-210 of J28-6169 (PDF page 210) -- object listing, one record per line slot.
Slot 0 is the page head. Every slot from 0 to 57 appears, empty slots included.
Field print columns, measured: LOC 0, OCTAL 7, CNTRL 25, label 34,
offset right-justified with its units digit at column 42, mnemonic 49, operand 56.
A field that the line does not print is shown as a dash.

slot 00 | PAGE HEAD | DATE 10/18/61  TIME  2.45  ACCOUNT   ID. CT PUBLICATIONS   PAGE  19
slot 01 | EMPTY SLOT
slot 02 | EMPTY SLOT
slot 03 | LOC 01150 | OCTAL 0774 00 1 00006 | CNTRL 10000 | +150                   | AXT  | 6,1
slot 41 | LOC 01216 | OCTAL 0601 00 1 00012 | CNTRL 10000 | +25                    | STO  | 1)FICA,1
slot 42 | LOC 01217 | OCTAL -               | CNTRL -     | GN)076                 | -    | -
slot 43 | LOC 01217 | OCTAL 0020 60 0 01165 | CNTRL 10001 | GN)077                 | TRA* | FICA.ROUTINE
slot 44 | LOC 01220 | OCTAL 0774 00 0 00000 | CNTRL 10000 | WITHOLDING.TAX.ROUTINE | -    | -
slot 45 | LOC -     | OCTAL -               | CNTRL -     | -                      | AXT  | 0
slot 46 | LOC 01221 | OCTAL 0560 00 0 01710 | CNTRL 10001 | +1                     | LDQ  | CP)+12
slot 47 | LOC 01222 | OCTAL 0535 00 1 01667 | CNTRL 10001 | +2                     | LAC  | BL)2,1
slot 48 | LOC 01223 | OCTAL 7 00000 1 00446 | CNTRL 10010 | +3                     | TXL  | SYS)294,1,0
slot 49 | LOC 01224 | OCTAL 0200 00 1 00006 | CNTRL 10000 | +4                     | MPY  | EXEMPTIONS,1
slot 50 | LOC 01225 | OCTAL 0200 00 0 01733 | CNTRL 10001 | +5                     | MPY  | CP)+31
slot 51 | LOC 01226 | OCTAL 4600 00 0 01633 | CNTRL 10001 | +6                     | STQ  | 2.RS)0
slot 52 | LOC 01227 | OCTAL 0500 00 0 00102 | CNTRL 10001 | +7                     | CLA  | 4)GROSS
slot 53 | LOC 01230 | OCTAL 0402 00 0 01633 | CNTRL 10001 | +8                     | SUB  | 2.RS)0
slot 54 | LOC 01231 | OCTAL 0131 00 0 00000 | CNTRL 10000 | +9                     | XCA  | -
slot 55 | LOC 01232 | OCTAL 0200 00 0 01707 | CNTRL 10001 | +10                    | MPY  | CP)+11
slot 56 | LOC 01233 | OCTAL 0131 00 0 00000 | CNTRL 10000 | +11                    | XCA  | -
slot 57 | LOC 01234 | OCTAL 0361 00 0 01736 | CNTRL 10001 | +12                    | ACL  | CP)+34
